,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
1398,Tamil Nadu,MAYILADUTHURAI,RAMALINGAM. S,DMK,Rising Sun,MALE,GENERAL,Graduate
1399,Tamil Nadu,MAYILADUTHURAI,ASAIMANI. S,AIADMK,Two Leaves,MALE,GENERAL,Post Graduate
1400,Tamil Nadu,MAYILADUTHURAI,SENTHAMIZHAN. S,IND,Gift Pack,MALE,GENERAL,12th Pass
1401,Tamil Nadu,MAYILADUTHURAI,SUBHASHINI. K,NTK,Ganna Kisan,FEMALE,GENERAL,Graduate
1402,Tamil Nadu,MAYILADUTHURAI,REFAYUDEEN. M,MNM,Battery Torch,MALE,GENERAL,8th Pass
1403,Odisha,MAYURBHANJ,BISHWESWAR TUDU,BJP,Lotus,MALE,ST,10th Pass
1404,Odisha,MAYURBHANJ,DR DEBASHIS MARNDI,BJD,Conch,MALE,ST,Graduate Professional
1405,Odisha,MAYURBHANJ,ANJANI SOREN,JMM,Bow & Arrow,FEMALE,ST,12th Pass
1406,Odisha,MAYURBHANJ,NOTA,NOTA,,,,
1407,Odisha,MAYURBHANJ,PARBATI PURTY,IND,Pot,FEMALE,ST,Post Graduate
1408,Telangana,MEDAK,Kotha Prabhakar Reddy,TRS,Car,MALE,GENERAL,Graduate
1409,Telangana,MEDAK,Anil Kumar Gali,INC,Hand,MALE,GENERAL,10th Pass
1410,Telangana,MEDAK,Madavaneni Raghunandan Rao,BJP,Lotus,MALE,GENERAL,Graduate Professional
1411,Telangana,MEDAK,Thummalapally Pruthviraj,IND,BOX,MALE,GENERAL,12th Pass
1412,Telangana,MEDAK,NOTA,NOTA,,,,
1413,Telangana,MEDAK,Gajabhinkar Bansilal,IND,Camera,MALE,GENERAL,5th Pass
1414,Telangana,MEDAK,Bangaru Krishna,IND,Road Roller,MALE,SC,12th Pass
1415,West Bengal,MEDINIPUR,Dilip Ghosh,BJP,Lotus,MALE,GENERAL,10th Pass
1416,West Bengal,MEDINIPUR,Manas Ranjan Bhunia,AITC,Flowers and Grass,MALE,GENERAL,Graduate Professional
1417,West Bengal,MEDINIPUR,Biplab Bhatta,CPI(M),Ears of Corn And Sickle,MALE,GENERAL,8th Pass
1418,West Bengal,MEDINIPUR,Sambhunath Chattapadhyay,INC,Hand,MALE,GENERAL,Graduate
1419,West Bengal,MEDINIPUR,NOTA,NOTA,,,,
1420,Uttar Pradesh,MEERUT,RAJENDRA AGARWAL,BJP,Lotus,MALE,GENERAL,Post Graduate
1421,Uttar Pradesh,MEERUT,HAJI MOHAMMAD YAQOOB,BSP,Elephant,MALE,GENERAL,8th Pass
1422,Uttar Pradesh,MEERUT,HARENDRA AGARWAL,INC,Hand,MALE,GENERAL,Graduate
1423,Uttar Pradesh,MIRZAPUR,Anupriya Singh Patel,ADAL,Cup & Saucer,FEMALE,GENERAL,Post Graduate
1424,Uttar Pradesh,MIRZAPUR,Ramcharitra Nishad,SP,Bicycle,MALE,SC,12th Pass
1425,Uttar Pradesh,MIRZAPUR,Lalitesh Pati Tripathi,INC,Hand,MALE,GENERAL,Graduate
1426,Uttar Pradesh,MIRZAPUR,NOTA,NOTA,,,,
1427,Uttar Pradesh,MIRZAPUR,Radheshyam Inshan,BRPI,Glass Tumbler,MALE,SC,8th Pass
1428,Uttar Pradesh,MISRIKH,Ashok Kumar Rawat,BJP,Lotus,MALE,SC,Post Graduate
1429,Uttar Pradesh,MISRIKH,Dr Neelu Satyarthi,BSP,Elephant,FEMALE,SC,Doctorate
1430,Uttar Pradesh,MISRIKH,Manjari Rahi,INC,Hand,FEMALE,SC,Post Graduate
